frame,radg,etot,local,go,repul,stack,hbond,elect,afmcc,afmfit,stage,kapa,rmsd,baseP,baseS
7917,38.71,-6460.39,548.87,-514.91,2.4,-3502.24,-3303.32,270.93,0.9912302,41.7,-4.81,10,6.396,54.0,145.0
6259,40.33,-6435.28,565.29,-474.74,1.12,-3494.58,-3304.63,250.74,0.9715392,40.6,-20.04,3,7.881,50.0,145.0
1438,39.68,-6389.0,579.62,-420.83,4.21,-3504.91,-3302.27,241.48,0.9775108,21.39,-8.66,2,9.394,49.0,146.0
6907,39.1,-6388.12,559.39,-531.93,1.51,-3490.01,-3311.84,268.62,0.9878902,115.16,0.0,20,6.413,54.0,147.0
8179,38.27,-6409.0,567.76,-497.85,1.8,-3505.76,-3315.4,273.01,0.9950087,66.45,0.0,28,5.157,52.0,149.0
2644,39.16,-6325.08,602.07,-477.03,2.82,-3494.64,-3313.26,270.6,0.9925941,91.56,-8.18,26,9.786,50.0,148.0
603,39.23,-6278.17,590.34,-409.12,2.97,-3495.95,-3282.51,246.32,0.9828469,73.4,-4.61,9,10.577,53.0,146.0
8960,38.92,-6450.8,570.67,-505.82,4.87,-3499.39,-3310.86,261.18,0.9810041,36.13,-8.55,4,6.054,54.0,147.0
2216,40.08,-6298.58,590.7,-434.25,0.75,-3502.32,-3304.25,254.01,0.9914154,97.96,-2.17,24,11.266,52.0,147.0
7094,38.58,-6435.25,586.45,-529.87,4.46,-3489.6,-3311.58,272.94,0.97935,39.27,-8.31,4,5.181,54.0,146.0
9745,38.7,-6416.32,574.77,-502.78,1.33,-3500.64,-3314.19,266.07,0.9956333,58.13,0.0,28,6.141,51.0,147.0
5963,38.38,-6124.78,606.49,-398.87,1.93,-3473.66,-3297.89,251.54,0.98921,184.69,0.0,36,16.3,50.0,139.0
9476,38.14,-6125.92,601.7,-384.91,1.02,-3481.12,-3309.76,244.56,0.9882227,201.59,0.0,36,17.539,46.0,135.0
3778,39.89,-6124.85,609.69,-476.54,2.91,-3504.1,-3306.06,276.37,0.9854812,276.13,-4.23,40,8.321,50.0,145.0
1686,38.02,-6361.57,595.32,-496.3,2.89,-3498.47,-3304.78,271.85,0.9966488,66.92,0.0,42,6.064,60.0,144.0
2863,38.77,-6443.65,556.81,-500.58,2.19,-3478.91,-3302.95,264.81,0.9825808,24.85,-10.84,3,6.759,55.0,149.0
457,38.46,-6151.38,633.7,-410.09,1.9,-3476.74,-3308.77,261.3,0.9904907,153.73,-7.4,34,15.766,55.0,135.0
1480,39.25,-6397.34,563.47,-438.07,1.48,-3486.12,-3306.88,248.19,0.9693332,29.16,-9.55,2,8.69,49.0,146.0
6981,39.42,-6359.25,576.32,-515.94,3.6,-3504.99,-3305.63,268.88,0.9913025,124.06,-6.54,30,9.5,56.0,149.0
5076,40.08,-6227.76,615.69,-439.17,1.71,-3488.62,-3313.16,246.27,0.9866528,152.31,-3.79,24,11.499,48.0,140.0
3098,38.22,-6380.33,587.63,-514.54,3.82,-3494.76,-3315.13,277.77,0.9887187,75.1,-1.2,14,6.511,57.0,149.0
4673,39.8,-6155.11,631.28,-429.58,4.76,-3500.4,-3303.07,256.16,0.9909476,189.39,-4.63,44,11.95,52.0,138.0
8098,37.65,-6373.08,594.35,-492.16,2.91,-3500.65,-3303.51,274.06,0.9910728,50.94,0.0,12,5.715,51.0,148.0
8059,37.97,-6351.81,533.31,-499.46,4.39,-3500.98,-3304.97,277.71,0.9924073,137.19,0.0,38,5.265,57.0,150.0
8974,38.73,-6414.88,582.34,-500.96,3.03,-3499.45,-3301.13,264.41,0.9763299,45.02,-9.13,4,5.977,54.0,147.0
9407,37.97,-6387.71,567.96,-517.32,3.7,-3493.68,-3311.67,278.89,0.9937346,83.41,0.0,28,5.536,51.0,147.0
