# initial_energy
# total_energy =    21393864.400
# t_series

#########################################################
#           step    tempk     radg       etot      velet qscore     rmsd
#unit       step    tempk     radg       etot      velet qscore     rmsd      local         go      repul  stack_rna      hbond      elect      afmcc     afmfit      stage
#########################################################

               0   298.00    40.68 **********     679.46  0.549     0.00
#all           0   298.00    40.68 **********     679.46  0.549     0.00   11221.06 2781091.47      53.43   28326.44 **********     256.59  0.8535415    2646.23      -2.96
               1   298.00    40.68 **********    1121.31  0.547     0.01
#all           1   298.00    40.68 **********    1121.31  0.547     0.01   10821.56 2541474.85      53.97   27167.19 **********     256.56  0.8541248    2635.69      -3.09
             100   298.00    40.73    6443.22   11403.77  0.380     3.01
#all         100   298.00    40.73    6443.22   11403.77  0.380     3.01    7459.58     -77.35      62.22   -1486.17   -2367.83     261.75  0.8564537    2593.61      -3.44
             200   298.00    40.55    5513.60   10049.26  0.347     4.61
#all         200   298.00    40.55    5513.60   10049.26  0.347     4.61    6908.01     -88.78     402.54   -1987.98   -2192.19     281.92  0.8788213    2189.47      -0.27
             300   298.00    40.31    4748.76    9039.76  0.332     5.78
#all         300   298.00    40.31    4748.76    9039.76  0.332     5.78    6394.96     -49.75     236.70   -1850.85   -2165.89     297.44  0.8956559    1885.30      -0.05
             400   298.00    40.06    3658.46    8541.63  0.286     6.72
#all         400   298.00    40.06    3658.46    8541.63  0.286     6.72    5749.77     -27.47      85.32   -1780.94   -2318.79     299.94  0.9086939    1649.73       0.00
             500   298.00    39.79    3331.97    7657.39  0.296     7.64
#all         500   298.00    39.79    3331.97    7657.39  0.296     7.64    5374.80     -48.09      85.59   -1583.72   -2273.31     300.62  0.9183554    1475.17       0.00
             600   298.00    39.48    3100.69    6952.48  0.316     8.44
#all         600   298.00    39.48    3100.69    6952.48  0.316     8.44    5057.48     -59.22     307.92   -1642.97   -2219.88     298.64  0.9248510    1357.80       0.00
             700   298.00    39.14    2414.74    6347.49  0.318     9.12
#all         700   298.00    39.14    2414.74    6347.49  0.318     9.12    4880.58     -60.19     226.72   -1792.27   -2327.96     304.25  0.9345432    1182.68       0.00
             800   298.00    38.84    1717.97    5926.90  0.307     9.79
#all         800   298.00    38.84    1717.97    5926.90  0.307     9.79    4615.63     -97.72      81.39   -1794.50   -2408.42     302.56  0.9436509    1018.12      -0.03
             900   298.00    38.55    1395.38    5500.00  0.315    10.45
#all         900   298.00    38.55    1395.38    5500.00  0.315    10.45    4309.18     -63.69      87.36   -1901.50   -2261.58     305.77  0.9491426     918.90       0.00
            1000   298.00    38.24    2051.02    5196.89  0.304    11.01
#all        1000   298.00    38.24    2051.02    5196.89  0.304    11.01    4007.88     -87.92      55.58   -1953.39   -1038.01     312.41  0.9582942     753.55      -0.04
            1100   298.00    37.99     303.47    4811.55  0.307    11.57
#all        1100   298.00    37.99     303.47    4811.55  0.307    11.57    3912.98     -97.90      53.69   -2000.64   -2477.37     313.18  0.9668718     598.57       0.00
            1200   298.00    37.78    -302.80    4755.48  0.324    12.09
#all        1200   298.00    37.78    -302.80    4755.48  0.324    12.09    3488.98     -85.53      73.31   -2166.96   -2514.86     313.59  0.9674730     587.70       0.00
            1300   298.00    37.60    -222.74    4156.49  0.322    12.65
#all        1300   298.00    37.60    -222.74    4156.49  0.322    12.65    3422.64    -119.68      54.39   -2054.97   -2402.58     313.29  0.9688289     563.20       0.00
            1400   298.00    37.46    -577.01    3919.44  0.319    13.17
#all        1400   298.00    37.46    -577.01    3919.44  0.319    13.17    3254.63     -81.44      70.12   -2169.88   -2524.31     314.69  0.9691047     558.22       0.00
            1500   298.00    37.34    -905.43    3778.61  0.334    13.68
#all        1500   298.00    37.34    -905.43    3778.61  0.334    13.68    2996.86    -120.57      55.70   -2216.74   -2493.20     317.00  0.9693070     554.56       0.00
            1600   298.00    37.25   -1249.20    3484.30  0.338    14.15
#all        1600   298.00    37.25   -1249.20    3484.30  0.338    14.15    2881.50    -109.79      69.54   -2330.72   -2538.61     318.57  0.9745753     459.38      -0.04
            1700   298.00    37.24   -1336.18    3177.17  0.353    14.58
#all        1700   298.00    37.24   -1336.18    3177.17  0.353    14.58    2832.38    -137.92      47.18   -2370.14   -2554.55     316.27  0.9706417     530.45      -0.82
            1800   298.00    37.25   -1452.86    2990.45  0.358    14.89
