index,step,tempk,radg,etot,velet, qscore,rmsd_C,local,go,repul,stack,hbond,elect,afmcc,afmfit,stage,frame,kapa,Unnamed: 0,baseP,baseS,native,afmccpow,etotPower
6,200600.0,298.0,38.11,-6361.64,721.41,0.889,16.58,581.82,-483.56,3.31,-3498.61,-3302.4,274.19,0.9895878,69.31,-6.7,2007,14,8.0,62.0,151.0,904.0,0.9293521919441446,-5912.2040783595485
8,200800.0,298.0,38.06,-6380.77,753.21,0.884,16.61,569.61,-483.22,3.86,-3490.6,-3311.45,272.64,0.9903913,63.96,-6.56,2009,14,10.0,53.0,148.0,947.0,0.9346472160408276,-5963.768916696832
14,201400.0,298.0,37.86,-6400.47,739.18,0.896,16.7,576.81,-494.04,3.79,-3495.65,-3306.07,272.82,0.9927739,48.1,-7.23,2015,14,16.0,54.0,131.0,931.0,0.9505007356992954,-6083.65144382127
18,201800.0,298.0,37.81,-6386.29,730.64,0.914,16.79,577.09,-500.16,3.1,-3497.5,-3309.6,274.31,0.9894536,70.2,-4.73,2019,14,20.0,54.0,149.0,885.0,0.9284703314888196,-5929.480793283734
19,201900.0,298.0,37.83,-6367.01,691.81,0.901,16.83,598.11,-497.48,2.98,-3507.93,-3296.08,272.77,0.990354,64.21,-4.58,2020,14,21.0,57.0,143.0,913.0,0.9344008398688738,-5949.339491453518
25,202500.0,298.0,37.97,-6396.87,725.8,0.903,16.99,556.2,-498.17,3.81,-3501.07,-3309.62,271.13,0.9872568,84.83,-4.96,2026,14,27.0,59.0,148.0,894.0,0.9141362604944225,-5847.610820668957
31,203100.0,298.0,38.02,-6387.5,722.77,0.899,17.1,575.89,-497.26,3.67,-3502.98,-3315.92,269.94,0.9877679,81.43,-3.25,2032,14,33.0,66.0,150.0,901.0,0.9174541298447156,-5860.238254383121
34,203400.0,298.0,38.02,-6436.42,710.53,0.904,17.04,541.92,-490.37,3.63,-3486.92,-3306.83,268.06,0.9945499,36.28,-3.19,2035,14,36.0,56.0,149.0,844.0,0.9624674401062688,-6194.844680848791
35,203500.0,298.0,38.03,-6430.69,745.07,0.891,17.02,544.6,-498.62,3.43,-3501.39,-3309.36,266.88,0.9899956,66.6,-3.82,2036,14,37.0,49.0,146.0,843.0,0.9320363507050199,-5993.636840115264
36,203600.0,298.0,38.02,-6412.78,706.06,0.907,16.99,583.89,-505.61,3.1,-3498.14,-3306.38,267.21,0.9929208,47.12,-4.95,2037,14,38.0,55.0,142.0,872.0,0.9514856869443894,-6101.668383523242
48,204800.0,298.0,37.43,-6359.08,749.27,0.909,16.88,591.81,-501.32,3.62,-3503.11,-3312.93,276.13,0.986807,87.82,-2.09,2049,14,50.0,57.0,139.0,917.0,0.9112248413239951,-5794.55166396659
52,205200.0,298.0,37.33,-6369.26,759.07,0.903,16.89,584.66,-497.78,2.33,-3489.02,-3307.57,273.37,0.9897234,68.41,-4.65,2053,14,54.0,66.0,148.0,870.0,0.9302439812469288,-5924.965779996814
54,205400.0,298.0,37.26,-6350.49,722.05,0.907,16.92,591.96,-498.27,2.9,-3497.83,-3306.09,275.4,0.9873712,84.07,-3.63,2055,14,56.0,67.0,148.0,886.0,0.914878007571446,-5809.923638302392
57,205700.0,298.0,37.17,-6381.78,725.36,0.916,17.04,559.84,-495.56,3.0,-3490.17,-3309.8,275.02,0.9879069,80.5,-5.61,2058,14,59.0,61.0,141.0,904.0,0.9183582489351065,-5860.760305889084
62,206200.0,298.0,37.2,-6388.93,722.01,0.897,17.15,583.59,-487.35,3.83,-3497.6,-3308.96,271.75,0.992779,48.07,-3.25,2063,14,64.0,53.0,144.0,881.0,0.9505349160894333,-6072.901041451263
63,206300.0,298.0,37.19,-6395.18,747.08,0.893,17.18,558.18,-487.97,3.01,-3492.83,-3307.05,272.56,0.9909191,60.45,-2.53,2064,14,65.0,68.0,146.0,873.0,0.9381394450939309,-5999.570616475805
66,206600.0,298.0,37.23,-6407.35,715.31,0.901,17.26,579.51,-495.76,3.34,-3491.23,-3308.18,275.25,0.9951739,32.13,-3.39,2067,14,68.0,49.0,149.0,866.0,0.9667025007923135,-6194.00126845163
68,206800.0,298.0,37.27,-6401.79,711.64,0.899,17.28,572.25,-497.09,3.53,-3486.66,-3306.69,275.96,0.9941446,38.98,-3.06,2069,14,70.0,60.0,140.0,897.0,0.9597252144119928,-6143.959280370551
86,208600.0,298.0,37.2,-6382.79,719.31,0.915,17.03,575.71,-511.85,3.7,-3488.49,-3298.13,272.66,0.9901258,65.73,-3.11,2087,14,88.0,56.0,152.0,893.0,0.9328947314440449,-5954.4711629137355
89,208900.0,298.0,37.16,-6383.46,707.56,0.903,17.09,565.72,-499.69,3.73,-3489.39,-3303.09,274.05,0.9898884,67.31,-3.09,2090,14,91.0,68.0,140.0,897.0,0.931330112294968,-5945.108518630436
91,209100.0,298.0,37.12,-6387.1,711.66,0.918,17.09,582.24,-503.19,3.75,-3493.58,-3304.5,271.83,0.991334,57.69,-2.33,2092,14,93.0,62.0,149.0,888.0,0.9408925086042563,-6009.574541706246
